Player,Line
Emily," I’m a Dextrous bitch. Ugh, nat 1!"
Lou," Ooh, nat 1."
Emily, I got a nat 1!
Emily," What I would like to do. Okay, I'll give you a Stealth check. I got a nat 1."
Murph," This is our fight. Oh, nat 1."
Zac," Okay, great. Nat 1."
Siobhan," Oh, I got a nat 1."
Emily," 'Kay, 26 to hit and then nat 1."
Ally, Nat 1.
Zac, Nat 1.
Siobhan, Great. That is a natural 1.
Zac, Nat 1.
Zac, Nat 1.
Ally, Nat 1.
Siobhan, I also got a nat 1.
Ally, Two nat 1’s.
Siobhan, That is a nat 1.
Murph, I got a nat 1.
Lou, Great. Nat 1.
Ally, Two nat 1s. What the fuck! That's insane!
Siobhan, I got a nat 1.
Ally, It was absolutely a nat 1.
Ally, Oh right. Nat 1.
Emily," That's a nat 1. So nevermind, that's not gonna hit. But I still..."
Emily," Okay, well, the other one was a nat 1, but..."
