EP_Name,URL
Start Spreading the News,https://docs.google.com/document/d/e/2PACX-1vStHBl5AvoF6khAfkbltamX5fhBWLYoiw0hhguKaMQ7cjqXxsHb6NLnOE4MGw91rHB2cWJvJw_ycl3A/pub
Mutant Santa Melee,https://docs.google.com/document/d/e/2PACX-1vTqtrT_dqc81-P9pdpVdozxro2kdRde-8nheSrdUxl_XSabbc3Utf6YTU8sdo5o4VQssVmffwHtF86n/pub
Pigeon Plus Ones,https://docs.google.com/document/d/e/2PACX-1vRTYB8W-i94hSAQLMSszkj95nTkvq7K0BrR5-ygcpw2npmIm4LEnIsY5heJPKBfGolrtLxgif1IVvkD/pub
Scramble in the Sewers,https://docs.google.com/document/d/e/2PACX-1vRGGv_2PEdZuHm4pWQhcKUTYgKaOSI4NFVaokUx7hjv6tbQ-QOpa1tYlaNEoitgSX9FIp84twLzua79/pub
A New York Wedding,https://docs.google.com/document/d/e/2PACX-1vTyqC88J4UvK2yNzBX0f2QP8SU-rr9JSB5jJlY9rL8S3RpdTcQE-bDSAWkSoExnL1325eJbKuHL1IdV/pub
The War of Bugs and Rats,https://docs.google.com/document/d/e/2PACX-1vQYHPHT0yZJ_4t45ZISr2PaNB2DLxO9zrlcJQyQVMnKRa2S6XEEaR8ZA90gD3iGoMJ2hAzT7hGUQOh-/pub
We Need to Talk About Pete,https://docs.google.com/document/d/e/2PACX-1vSGUbuAFIXV1KloVUs3kJq072nkCtn6u1-o0iRy8SQ7q_oD0qj3Yrbj1hz6rQ1ra0ZNSqr2vhjhYp7E/pub
Subway Skirmish,https://docs.google.com/document/d/e/2PACX-1vRyLH5K5qa4ZEc2oZRX19ruwqPFyOFliNvEf3ihdx_kdmwcwJwR1YKXAciJ9loaahY0ryAzLrLMwH_q/pub
Borough of Dreams,https://docs.google.com/document/d/e/2PACX-1vQaQxo9Fgedgh8O-Q-unqi2Ox078c8bVTcvIB7ZEr2ZFnzYcXxVRDOunB4hiiEgXPpssiWm-62PHpYY/pub
Panic at the Art Show,https://docs.google.com/document/d/e/2PACX-1vTpdX3Nq2PzM0vWymsZRoVbfZ-PHCvMDEnew1E8-aPNl50K8rJlGFYMRQTywUncleUEcQsgQm0OtUv0/pub
Home for the Holidays,https://docs.google.com/document/d/e/2PACX-1vSHZ7lfAWbKOlpzhMIFFxcOm0EBzDUNYq3aYgkMl8i4szx0v9lTw3aoZ7prF0CKlASyKeaynGlIhMQb/pub
Broadway Brawl,https://docs.google.com/document/d/e/2PACX-1vQnI0AZeM6ghuiLMtUt1a7vK0H22YvUEyzYyx0XW1apNy0NKlgbsJA4CL2Rt14dqxaycwumGLgedvCc/pub
Faeries and Feces,https://docs.google.com/document/d/e/2PACX-1vS_zvKVwkNyQkXzjGSiSyNDOGTtYZEdheTacuLsTkbK6VSLNQGZbISdp7_f0L00Koh4vzwWwCfPAQJj/pub
Showdown at the Stock Exchange,https://docs.google.com/document/d/e/2PACX-1vTjMKO8vnsszuJzKzqEX6RWoNEsCMExrjA5Ep4rk3USYNfqBnxJa01m2WUbi9S-yGTTvDqXJDo3kl5c/pub
Hall of Heroes,https://docs.google.com/document/d/e/2PACX-1vQ-Dfs26u6aU9iF8vy1sYHQTKuoajkGCEXYga9fTwwec-BCyXqC_KuudIlk8u0StYjWxIWpKrepT5ua/pub
Times Squaremageddon,https://docs.google.com/document/d/e/2PACX-1vT40M5VI9LlBUEoa0L8Mx1Q5uOS4nlQdWe3eph3fBE3hqn52AiuqAdUGflBSU7BsCJGdNqMxfCk1vm6/pub
Times Squaremageddon Pt. 2,https://docs.google.com/document/d/e/2PACX-1vQqv3877Z80jtIVvZ4A60QXBD30qd2rLHRLt0U81w1aqawlXtMD9xMDQb3e0-ZElioJsC0icbsCPVIf/pub
